lr,bs,epochs,activation,fc,train,validate,test
0.01,100,1000,tanh,[],74.58749999999999,72.46231155778895,72.06030150753769
0.01,100,1000,tanh,[50],89.75,75.07537688442211,72.8643216080402
0.01,100,1000,tanh,"[100, 50]",99.9,83.71859296482413,81.90954773869346
0.01,100,1000,tanh,"[100, 500, 50]",93.7125,82.1105527638191,80.7035175879397
0.01,100,1000,tanh,"[100, 250, 250, 100]",80.83749999999999,71.75879396984925,70.55276381909547
0.01,100,1000,relu,[],74.5625,72.36180904522614,72.06030150753769
0.01,100,1000,relu,[50],95.5,82.51256281407035,81.20603015075378
0.01,100,1000,relu,"[100, 50]",99.3125,86.53266331658291,85.92964824120602
0.01,100,1000,relu,"[100, 500, 50]",97.5125,85.92964824120602,85.02512562814071
0.01,100,1000,relu,"[100, 250, 250, 100]",96.2,84.321608040201,82.8140703517588
0.01,200,1000,tanh,[],74.6875,73.26633165829146,72.1608040201005
0.01,200,1000,tanh,[50],99.9,78.29145728643216,80.10050251256281
0.01,200,1000,tanh,"[100, 50]",99.9,82.31155778894473,81.00502512562814
0.01,200,1000,tanh,"[100, 500, 50]",96.5875,83.81909547738694,83.91959798994975
0.01,200,1000,tanh,"[100, 250, 250, 100]",89.3375,77.58793969849246,78.89447236180904
0.01,200,1000,relu,[],74.7,72.96482412060301,72.1608040201005
0.01,200,1000,relu,[50],99.875,84.321608040201,83.41708542713567
0.01,200,1000,relu,"[100, 50]",99.7875,87.8391959798995,86.53266331658291
0.01,200,1000,relu,"[100, 500, 50]",99.85000000000001,89.3467336683417,87.53768844221106
0.01,200,1000,relu,"[100, 250, 250, 100]",98.7375,83.21608040201005,82.2110552763819
0.005,100,1000,tanh,[],74.625,72.36180904522614,72.26130653266331
0.005,100,1000,tanh,[50],99.9,79.59798994974875,78.69346733668343
0.005,100,1000,tanh,"[100, 50]",99.9,85.92964824120602,84.82412060301507
0.005,100,1000,tanh,"[100, 500, 50]",98.8125,85.22613065326632,81.60804020100502
0.005,100,1000,tanh,"[100, 250, 250, 100]",97.46249999999999,84.42211055276381,82.8140703517588
0.005,100,1000,relu,[],74.6125,72.46231155778895,72.1608040201005
0.005,100,1000,relu,[50],99.85000000000001,83.91959798994975,82.61306532663316
0.005,100,1000,relu,"[100, 50]",99.9,88.44221105527639,88.24120603015075
0.005,100,1000,relu,"[100, 500, 50]",99.625,89.9497487437186,88.64321608040201
0.005,100,1000,relu,"[100, 250, 250, 100]",99.825,87.63819095477386,87.63819095477386
0.005,200,1000,tanh,[],74.5625,72.76381909547739,72.26130653266331
0.005,200,1000,tanh,[50],99.9,80.10050251256281,82.1105527638191
0.005,200,1000,tanh,"[100, 50]",99.9,87.93969849246231,85.62814070351759
0.005,200,1000,tanh,"[100, 500, 50]",99.9,85.7286432160804,85.82914572864323
0.005,200,1000,tanh,"[100, 250, 250, 100]",99.88749999999999,83.91959798994975,84.42211055276381
0.005,200,1000,relu,[],74.5625,72.76381909547739,72.26130653266331
0.005,200,1000,relu,[50],99.9,83.01507537688441,83.91959798994975
0.005,200,1000,relu,"[100, 50]",99.9,88.94472361809045,86.4321608040201
0.005,200,1000,relu,"[100, 500, 50]",99.9,89.44723618090453,88.34170854271358
0.005,200,1000,relu,"[100, 250, 250, 100]",99.8,90.05025125628141,88.84422110552764
