lr,bs,epochs,activation,fc,train,validate,test
0.1,200,1000,tanh,"[100, 50]",94.7565543071161,60.60606060606061,51.515151515151516
0.1,200,1000,tanh,"[100, 500, 50]",56.30461922596754,50.505050505050505,48.484848484848484
0.1,200,1000,tanh,"[100, 250, 250, 100]",49.68789013732834,43.43434343434344,45.45454545454545
0.1,200,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",30.96129837702871,25.252525252525253,33.33333333333333
0.1,200,1000,relu,[],100.0,70.70707070707071,66.66666666666666
0.1,200,1000,relu,[50],100.0,77.77777777777779,63.63636363636363
0.1,200,1000,relu,"[100, 50]",10.112359550561797,9.090909090909092,8.080808080808081
0.1,200,1000,relu,"[100, 500, 50]",10.237203495630462,9.090909090909092,9.090909090909092
0.1,200,1000,relu,"[100, 250, 250, 100]",10.112359550561797,9.090909090909092,9.090909090909092
0.1,200,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",10.112359550561797,9.090909090909092,9.090909090909092
0.1,200,3000,tanh,[],100.0,71.71717171717171,65.65656565656566
0.1,200,3000,tanh,[50],93.3832709113608,66.66666666666666,51.515151515151516
0.1,200,3000,tanh,"[100, 50]",91.01123595505618,53.535353535353536,52.52525252525253
0.1,200,3000,tanh,"[100, 500, 50]",54.43196004993758,50.505050505050505,46.464646464646464
0.1,200,3000,tanh,"[100, 250, 250, 100]",54.931335830212234,52.52525252525253,42.42424242424242
0.1,200,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",40.19975031210986,34.34343434343434,33.33333333333333
0.1,200,3000,relu,[],100.0,70.70707070707071,66.66666666666666
0.1,200,3000,relu,[50],100.0,73.73737373737373,73.73737373737373
0.1,200,3000,relu,"[100, 50]",10.112359550561797,10.1010101010101,10.1010101010101
0.1,200,3000,relu,"[100, 500, 50]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,200,3000,relu,"[100, 250, 250, 100]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,200,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,300,1000,tanh,[],92.13483146067416,69.6969696969697,63.63636363636363
0.1,300,1000,tanh,[50],87.89013732833958,58.58585858585859,49.494949494949495
0.1,300,1000,tanh,"[100, 50]",89.8876404494382,60.60606060606061,53.535353535353536
0.1,300,1000,tanh,"[100, 500, 50]",60.42446941323346,54.54545454545454,49.494949494949495
0.1,300,1000,tanh,"[100, 250, 250, 100]",54.55680399500624,49.494949494949495,45.45454545454545
0.1,300,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",37.95255930087391,37.37373737373738,40.4040404040404
0.1,300,1000,relu,[],92.88389513108615,70.70707070707071,60.60606060606061
0.1,300,1000,relu,[50],93.3832709113608,74.74747474747475,61.61616161616161
0.1,300,1000,relu,"[100, 50]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,300,1000,relu,"[100, 500, 50]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,300,1000,relu,"[100, 250, 250, 100]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,300,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,300,3000,tanh,[],92.63420724094883,72.72727272727273,63.63636363636363
0.1,300,3000,tanh,[50],89.13857677902621,62.62626262626263,53.535353535353536
0.1,300,3000,tanh,"[100, 50]",89.01373283395755,60.60606060606061,53.535353535353536
0.1,300,3000,tanh,"[100, 500, 50]",58.30212234706617,41.41414141414141,49.494949494949495
0.1,300,3000,tanh,"[100, 250, 250, 100]",52.43445692883895,48.484848484848484,44.44444444444444
0.1,300,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",41.4481897627965,39.39393939393939,39.39393939393939
0.1,300,3000,relu,[],93.00873907615481,74.74747474747475,65.65656565656566
0.1,300,3000,relu,[50],92.75905118601749,71.71717171717171,65.65656565656566
0.1,300,3000,relu,"[100, 50]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,300,3000,relu,"[100, 500, 50]",15.23096129837703,15.151515151515152,14.14141414141414
0.1,300,3000,relu,"[100, 250, 250, 100]",19.101123595505616,18.181818181818183,18.181818181818183
0.1,300,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",9.987515605493133,10.1010101010101,10.1010101010101
0.005,100,1000,tanh,[],100.0,71.71717171717171,65.65656565656566
0.005,100,1000,tanh,[50],100.0,75.75757575757575,63.63636363636363
0.005,100,1000,tanh,"[100, 50]",100.0,76.76767676767676,69.6969696969697
0.005,100,1000,tanh,"[100, 500, 50]",100.0,75.75757575757575,71.71717171717171
0.005,100,1000,tanh,"[100, 250, 250, 100]",100.0,76.76767676767676,67.67676767676768
0.005,100,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",100.0,64.64646464646465,65.65656565656566
0.005,100,1000,relu,[],100.0,72.72727272727273,63.63636363636363
0.005,100,1000,relu,[50],100.0,78.78787878787878,69.6969696969697
0.005,100,1000,relu,"[100, 50]",100.0,78.78787878787878,72.72727272727273
0.005,100,1000,relu,"[100, 500, 50]",100.0,80.8080808080808,72.72727272727273
0.005,100,1000,relu,"[100, 250, 250, 100]",100.0,71.71717171717171,64.64646464646465
0.005,100,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",9.987515605493133,10.1010101010101,10.1010101010101
0.005,100,3000,tanh,[],100.0,68.68686868686868,61.61616161616161
0.005,100,3000,tanh,[50],100.0,69.6969696969697,64.64646464646465
0.005,100,3000,tanh,"[100, 50]",100.0,77.77777777777779,69.6969696969697
0.005,100,3000,tanh,"[100, 500, 50]",100.0,72.72727272727273,70.70707070707071
0.005,100,3000,tanh,"[100, 250, 250, 100]",99.87515605493134,66.66666666666666,61.61616161616161
0.005,100,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",100.0,56.56565656565656,58.58585858585859
0.005,100,3000,relu,[],100.0,68.68686868686868,62.62626262626263
0.005,100,3000,relu,[50],100.0,76.76767676767676,66.66666666666666
0.005,100,3000,relu,"[100, 50]",100.0,78.78787878787878,65.65656565656566
0.005,100,3000,relu,"[100, 500, 50]",99.50062421972534,69.6969696969697,65.65656565656566
0.005,100,3000,relu,"[100, 250, 250, 100]",100.0,69.6969696969697,64.64646464646465
0.005,100,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",9.987515605493133,10.1010101010101,10.1010101010101
0.005,200,1000,tanh,[],100.0,74.74747474747475,63.63636363636363
0.005,200,1000,tanh,[50],100.0,78.78787878787878,68.68686868686868
0.005,200,1000,tanh,"[100, 50]",100.0,79.7979797979798,71.71717171717171
0.005,200,1000,tanh,"[100, 500, 50]",100.0,76.76767676767676,69.6969696969697
0.005,200,1000,tanh,"[100, 250, 250, 100]",100.0,80.8080808080808,70.70707070707071
0.005,200,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",100.0,58.58585858585859,61.61616161616161
0.005,200,1000,relu,[],100.0,71.71717171717171,64.64646464646465
0.005,200,1000,relu,[50],100.0,82.82828282828282,65.65656565656566
0.005,200,1000,relu,"[100, 50]",100.0,75.75757575757575,65.65656565656566
0.005,200,1000,relu,"[100, 500, 50]",100.0,80.8080808080808,72.72727272727273
0.005,200,1000,relu,"[100, 250, 250, 100]",100.0,71.71717171717171,66.66666666666666
0.005,200,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",80.02496878901373,56.56565656565656,52.52525252525253
0.005,200,3000,tanh,[],100.0,70.70707070707071,63.63636363636363
0.005,200,3000,tanh,[50],100.0,76.76767676767676,68.68686868686868
0.005,200,3000,tanh,"[100, 50]",100.0,74.74747474747475,67.67676767676768
0.005,200,3000,tanh,"[100, 500, 50]",100.0,75.75757575757575,68.68686868686868
0.005,200,3000,tanh,"[100, 250, 250, 100]",100.0,72.72727272727273,69.6969696969697
0.005,200,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",100.0,60.60606060606061,58.58585858585859
0.005,200,3000,relu,[],100.0,70.70707070707071,64.64646464646465
0.005,200,3000,relu,[50],100.0,78.78787878787878,68.68686868686868
0.005,200,3000,relu,"[100, 50]",100.0,77.77777777777779,67.67676767676768
0.005,200,3000,relu,"[100, 500, 50]",100.0,68.68686868686868,64.64646464646465
0.005,200,3000,relu,"[100, 250, 250, 100]",99.75031210986268,62.62626262626263,53.535353535353536
0.005,200,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",100.0,70.70707070707071,65.65656565656566
0.005,300,1000,tanh,[],93.00873907615481,73.73737373737373,63.63636363636363
0.005,300,1000,tanh,[50],94.50686641697878,71.71717171717171,69.6969696969697
0.005,300,1000,tanh,"[100, 50]",94.25717852684144,74.74747474747475,64.64646464646465
0.005,300,1000,tanh,"[100, 500, 50]",93.75780274656678,72.72727272727273,63.63636363636363
0.005,300,1000,tanh,"[100, 250, 250, 100]",93.13358302122347,71.71717171717171,66.66666666666666
0.005,300,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",90.2621722846442,51.515151515151516,57.57575757575758
0.005,300,1000,relu,[],93.00873907615481,70.70707070707071,61.61616161616161
0.005,300,1000,relu,[50],93.88264669163546,78.78787878787878,70.70707070707071
0.005,300,1000,relu,"[100, 50]",94.50686641697878,76.76767676767676,69.6969696969697
0.005,300,1000,relu,"[100, 500, 50]",94.3820224719101,77.77777777777779,66.66666666666666
0.005,300,1000,relu,"[100, 250, 250, 100]",93.63295880149812,77.77777777777779,62.62626262626263
0.005,300,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",91.6354556803995,70.70707070707071,62.62626262626263
0.005,300,3000,tanh,[],93.13358302122347,73.73737373737373,61.61616161616161
0.005,300,3000,tanh,[50],93.88264669163546,73.73737373737373,61.61616161616161
0.005,300,3000,tanh,"[100, 50]",93.88264669163546,75.75757575757575,66.66666666666666
0.005,300,3000,tanh,"[100, 500, 50]",93.3832709113608,72.72727272727273,64.64646464646465
0.005,300,3000,tanh,"[100, 250, 250, 100]",92.50936329588015,77.77777777777779,61.61616161616161
0.005,300,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",90.13732833957553,62.62626262626263,53.535353535353536
0.005,300,3000,relu,[],92.88389513108615,74.74747474747475,60.60606060606061
0.005,300,3000,relu,[50],93.88264669163546,78.78787878787878,69.6969696969697
0.005,300,3000,relu,"[100, 50]",93.88264669163546,75.75757575757575,70.70707070707071
0.005,300,3000,relu,"[100, 500, 50]",94.25717852684144,78.78787878787878,71.71717171717171
0.005,300,3000,relu,"[100, 250, 250, 100]",93.50811485642946,78.78787878787878,65.65656565656566
0.005,300,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",89.8876404494382,66.66666666666666,61.61616161616161
